column,subsystem,role,index
tune_sys_podstate_out,sys,out,events
tune_lev_z_sp,lev,sp,metrics
tune_lev_z_act,lev,act,metrics
tune_lev_pitch_sp,lev,sp,metrics
tune_lev_pitch_act,lev,act,metrics
tune_lev_roll_sp,lev,sp,metrics
tune_lev_roll_act,lev,act,metrics
tune_lev_yaw_sp,lev,sp,metrics
tune_lev_yaw_act,lev,act,metrics
tune_lev_yairgap_sp,lev,sp,metrics
tune_lev_zliftoff_out,lev,out,metrics
tune_lev_y_out,lev,out,metrics
tune_lev_sensordata0_out,lev,out,metrics
tune_lev_sensordata1_out,lev,out,metrics
tune_lev_sensordata2_out,lev,out,metrics
tune_lev_sensordata3_out,lev,out,metrics
tune_lev_sensordata4_out,lev,out,metrics
tune_lev_sensordata5_out,lev,out,metrics
tune_lev_sensordata6_out,lev,out,metrics
tune_lev_sensordata7_out,lev,out,metrics
tune_lev_sensordata8_out,lev,out,metrics
tune_lev_sensordata9_out,lev,out,metrics
tune_lev_sensordata10_out,lev,out,metrics
tune_lev_sensordata11_out,lev,out,metrics
tune_lev_realcurrents0_out,lev,out,metrics
tune_lev_realcurrents1_out,lev,out,metrics
tune_lev_realcurrents2_out,lev,out,metrics
tune_lev_realcurrents3_out,lev,out,metrics
tune_lev_realcurrents4_out,lev,out,metrics
tune_lev_realcurrents5_out,lev,out,metrics
tune_lev_realcurrents6_out,lev,out,metrics
tune_lev_realcurrents7_out,lev,out,metrics
tune_lev_realcurrents8_out,lev,out,metrics
tune_lev_realcurrents9_out,lev,out,metrics
tune_lev_realcurrents10_out,lev,out,metrics
tune_lev_realcurrents11_out,lev,out,metrics
tune_lev_realcurrents12_out,lev,out,metrics
tune_lev_realcurrents13_out,lev,out,metrics
tune_lev_realcurrents14_out,lev,out,metrics
tune_lev_realcurrents15_out,lev,out,metrics
tune_lev_realcurrents16_out,lev,out,metrics
tune_lev_realcurrents17_out,lev,out,metrics
tune_lev_realcurrents18_out,lev,out,metrics
tune_lev_realcurrents19_out,lev,out,metrics
tune_lev_realcurrents20_out,lev,out,metrics
tune_lev_realcurrents21_out,lev,out,metrics
tune_lev_realcurrents22_out,lev,out,metrics
tune_lev_realcurrents23_out,lev,out,metrics
tune_lev_dcbusvoltage0_out,lev,out,metrics
tune_lev_dcbusvoltage1_out,lev,out,metrics
tune_lev_dcbusvoltage2_out,lev,out,metrics
tune_lev_dcbusvoltage3_out,lev,out,metrics
tune_lev_dcbusvoltage4_out,lev,out,metrics
tune_lev_dcbusvoltage5_out,lev,out,metrics
tune_lev_dcbusvoltage6_out,lev,out,metrics
tune_lev_dcbusvoltage7_out,lev,out,metrics
tune_lev_dcbusvoltage8_out,lev,out,metrics
tune_lev_dcbusvoltage9_out,lev,out,metrics
tune_lev_dcbusvoltage10_out,lev,out,metrics
tune_lev_dcbusvoltage11_out,lev,out,metrics
tune_lev_dcbusvoltage12_out,lev,out,metrics
tune_lev_dcbusvoltage13_out,lev,out,metrics
tune_lev_dcbusvoltage14_out,lev,out,metrics
tune_lev_dcbusvoltage15_out,lev,out,metrics
tune_lev_dcbusvoltage16_out,lev,out,metrics
tune_lev_dcbusvoltage17_out,lev,out,metrics
tune_lev_dcbusvoltage18_out,lev,out,metrics
tune_lev_dcbusvoltage19_out,lev,out,metrics
tune_lev_dcbusvoltage20_out,lev,out,metrics
tune_lev_dcbusvoltage21_out,lev,out,metrics
tune_lev_dcbusvoltage22_out,lev,out,metrics
tune_lev_dcbusvoltage23_out,lev,out,metrics
tune_lev_peripheryvoltage0_out,lev,out,metrics
tune_lev_peripheryvoltage1_out,lev,out,metrics
tune_lev_peripheryvoltage2_out,lev,out,metrics
tune_lev_peripheryvoltage3_out,lev,out,metrics
tune_lev_peripheryvoltage4_out,lev,out,metrics
tune_lev_peripheryvoltage5_out,lev,out,metrics
tune_lev_peripheryvoltage6_out,lev,out,metrics
tune_lev_peripheryvoltage7_out,lev,out,metrics
tune_lev_peripheryvoltage8_out,lev,out,metrics
tune_lev_peripheryvoltage9_out,lev,out,metrics
tune_lev_peripheryvoltage10_out,lev,out,metrics
tune_lev_peripheryvoltage11_out,lev,out,metrics
tune_lev_peripheryvoltage12_out,lev,out,metrics
tune_lev_peripheryvoltage13_out,lev,out,metrics
tune_lev_peripheryvoltage14_out,lev,out,metrics
tune_lev_peripheryvoltage15_out,lev,out,metrics
tune_lev_peripheryvoltage16_out,lev,out,metrics
tune_lev_peripheryvoltage17_out,lev,out,metrics
tune_lev_peripheryvoltage18_out,lev,out,metrics
tune_lev_peripheryvoltage19_out,lev,out,metrics
tune_lev_peripheryvoltage20_out,lev,out,metrics
tune_lev_peripheryvoltage21_out,lev,out,metrics
tune_lev_peripheryvoltage22_out,lev,out,metrics
tune_lev_peripheryvoltage23_out,lev,out,metrics
tune_lev_requestedcurrents0_out,lev,out,metrics
tune_lev_requestedcurrents1_out,lev,out,metrics
tune_lev_requestedcurrents2_out,lev,out,metrics
tune_lev_requestedcurrents3_out,lev,out,metrics
tune_lev_requestedcurrents4_out,lev,out,metrics
